"Redes de ensino inabilitadas à complementação VAAR 2025 pelo não cumprimento de condicionalidades de melhoria de gestão previstas no art. 14, § 1º, incisos I a V, da Lei nº 14.113/2020, ou por não terem alcançado evolução em indicadores de
atendimento e de melhoria da aprendizagem com redução das desigualdades previstos no art. 14, § 2º da Lei nº 14.113/2020",,,
UF,Ente Federado,Código IBGE,Motivo
AC,ACRE,12,"Não cumprimento do disposto no art. 14, § 1º, II, III da Lei nº 14113/2020"
AC,ACRELANDIA,1200013,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AC,BRASILEIA,1200104,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AC,BUJARI,1200138,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
AC,CAPIXABA,1200179,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
AC,CRUZEIRO DO SUL,1200203,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AC,FEIJO,1200302,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AC,MANCIO LIMA,1200336,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AC,MANOEL URBANO,1200344,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AC,MARECHAL THAUMATURGO,1200351,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
AC,PLACIDO DE CASTRO,1200385,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AC,PORTO ACRE,1200807,"Não cumprimento do disposto no art. 14, § 1º, II, III da Lei nº 14113/2020"
AC,PORTO WALTER,1200393,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AC,RIO BRANCO,1200401,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AC,SANTA ROSA DO PURUS,1200435,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
AC,SENA MADUREIRA,1200500,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
AC,SENADOR GUIOMARD,1200450,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
AL,ANADIA,2700201,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
AL,ARAPIRACA,2700300,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,BATALHA,2700706,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
AL,BELEM,2700805,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
AL,CAMPO ALEGRE,2701407,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,CARNEIROS,2701803,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,COITE DO NOIA,2702009,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,DELMIRO GOUVEIA,2702405,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,IGREJA NOVA,2703205,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,INHAPI,2703304,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
AL,JEQUIA DA PRAIA,2703759,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,JUNQUEIRO,2704005,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,MACEIO,2704302,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,MARECHAL DEODORO,2704708,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,MATRIZ DE CAMARAGIBE,2705101,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,MESSIAS,2705200,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,MINADOR DO NEGRAO,2705309,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,PALMEIRA DOS INDIOS,2706307,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,PARIPUEIRA,2706448,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,PINDOBA,2707008,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
AL,QUEBRANGULO,2707602,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AL,SAO JOSE DA TAPERA,2708402,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,AMATURA,1300060,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,ANORI,1300102,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,APUI,1300144,"Não cumprimento do disposto no art. 14, § 1º, I e II da Lei nº 14113/2020"
AM,ATALAIA DO NORTE,1300201,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,BARCELOS,1300409,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
AM,BENJAMIN CONSTANT,1300607,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
AM,BERURI,1300631,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
AM,CANUTAMA,1300904,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
AM,CODAJAS,1301308,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,EIRUNEPE,1301407,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,ENVIRA,1301506,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
AM,IRANDUBA,1301852,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,ITAMARATI,1301951,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
AM,MANACAPURU,1302504,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,MANAUS,1302603,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,MANICORE,1302702,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,MAUES,1302900,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,NOVO ARIPUANA,1303304,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
AM,PARINTINS,1303403,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,PRESIDENTE FIGUEIREDO,1303536,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,SAO GABRIEL DA CACHOEIRA,1303809,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
AM,SAO PAULO DE OLIVENCA,1303908,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
AM,TEFE,1304203,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AM,UARINI,1304260,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AP,AMAPA,1600105,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
AP,AMAPÁ,16,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
AP,CUTIAS,1600212,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
AP,FERREIRA GOMES,1600238,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AP,ITAUBAL,1600253,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
AP,OIAPOQUE,1600501,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
AP,PORTO GRANDE,1600535,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
AP,PRACUUBA,1600550,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
AP,SERRA DO NAVIO,1600055,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
AP,VITORIA DO JARI,1600808,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ABAIRA,2900108,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
BA,ABARE,2900207,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
BA,AGUA FRIA,2900405,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ALAGOINHAS,2900702,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ALCOBACA,2900801,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,ALMADINA,2900900,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,AMARGOSA,2901007,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,AMELIA RODRIGUES,2901106,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
BA,ANAGE,2901205,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
BA,ANDARAI,2901304,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ANGICAL,2901403,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,ANTONIO CARDOSO,2901700,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020"
BA,ARACAS,2902054,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
BA,ARACI,2902104,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ARAMARI,2902203,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ARATACA,2902252,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,BAHIA,29,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,BAIXA GRANDE,2902609,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,BARRA,2902708,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
