UF,Código IBGE,Entidade,"Receita da contribuição de estados e
municípios ao Fundeb","Complementação
VAAF","Complementação
VAAT","Complementação
VAAR","Complementação da
União Total","Total das receitas
previstas"
AC,1200013,ACRELANDIA,"1 8.712.580,50",-,"2 .697.504,00",-,"2 .697.504,00","21.410.084,50"
AC,1200054,ASSIS BRASIL,"1 2.845.888,94",-,"1 .946.447,04","7 24.151,72","2.670.598,76","15.516.487,70"
AC,1200104,BRASILEIA,"3 1.513.836,99",-,"5 .610.327,94",-,"5 .610.327,94","37.124.164,93"
AC,1200138,BUJARI,"1 3.764.049,91",-,"1 .682.496,76",-,"1 .682.496,76","15.446.546,67"
AC,1200179,CAPIXABA,"1 7.701.720,18",-,"1 62.157,49",-,"1 62.157,49","17.863.877,67"
AC,1200203,CRUZEIRO DO SUL,"1 09.381.581,08",-,"1 9.401.060,65",-,"1 9.401.060,65","128.782.641,73"
AC,1200252,EPITACIOLANDIA,"2 4.039.662,21",-,"4 .075.972,82","7 72.366,15","4.848.338,97","28.888.001,18"
AC,1200302,FEIJO,"3 9.520.497,57",-,"5 .039.170,43",-,"5 .039.170,43","44.559.668,00"
AC,1200328,JORDAO,"2 8.202.029,08",-,"7 .803.977,39","7 32.685,18","8.536.662,57","36.738.691,65"
AC,1200336,MANCIO LIMA,"2 9.551.136,74",-,"5 .712.863,89",-,"5 .712.863,89","35.264.000,63"
AC,1200344,MANOEL URBANO,"2 1.260.241,42",-,"2 .894.770,03",-,"2 .894.770,03","24.155.011,45"
AC,1200351,MARECHAL THAUMATURGO,"4 6.230.063,54",-,"4 .749.655,00",-,"4 .749.655,00","50.979.718,54"
AC,1200385,PLACIDO DE CASTRO,"1 9.841.211,83",-,"1 .767.957,60",-,"1 .767.957,60","21.609.169,43"
AC,1200807,PORTO ACRE,"2 5.870.091,04",-,"7 .406.974,86",-,"7 .406.974,86","33.277.065,90"
AC,1200393,PORTO WALTER,"2 8.642.412,27",-,"2 .076.111,80",-,"2 .076.111,80","30.718.524,07"
AC,1200401,RIO BRANCO,"2 13.582.804,55",-,-,-,-,"213.582.804,55"
AC,1200427,RODRIGUES ALVES,"4 4.144.186,67",-,"1 4.714.360,58","2 .431.418,64","17.145.779,22","61.289.965,89"
AC,1200435,SANTA ROSA DO PURUS,"2 0.021.228,71",-,"1 .982.846,30",-,"1 .982.846,30","22.004.075,01"
AC,1200500,SENA MADUREIRA,"4 9.477.686,24",-,"5 .280.733,23",-,"5 .280.733,23","54.758.419,47"
AC,1200450,SENADOR GUIOMARD,"2 1.271.470,64",-,"2 .834.549,18",-,"2 .834.549,18","24.106.019,82"
AC,1200609,TARAUACA,"6 5.498.744,97",-,"7 .986.143,53","1.390.255,66","9 .376.399,19","74.875.144,16"
AC,1200708,XAPURI,"1 4.247.914,76",-,"2 .097.141,67","7 61.037,51","2.858.179,18","17.106.093,94"
AC,12,GOVERNO DO ESTADO,"1 .395.968.254,48",-,-,-,-,"1.395.968.254,48"
AL,2700102,AGUA BRANCA,"3 5.610.216,09","7 .247.832,47","1 9.911.695,10","2 .722.686,53","29.882.214,10","65.492.430,19"
AL,2700201,ANADIA,"2 0.857.670,61","4 .245.211,60","1 2.086.247,80",-,"1 6.331.459,40","37.189.130,01"
AL,2700300,ARAPIRACA,"1 97.262.493,64","40.149.307,26","83.735.935,36",-,"1 23.885.242,62","321.147.736,26"
AL,2700409,ATALAIA,"5 8.262.663,64","11.858.339,32","23.650.214,88","4 .541.503,77","40.050.057,97","98.312.721,61"
AL,2700508,BARRA DE SANTO ANTONIO,"2 3.156.889,52","4 .713.177,13","9.057.648,56","1.841.063,01","15.611.888,70","38.768.778,22"
AL,2700607,BARRA DE SAO MIGUEL,"1 3.504.992,64","2 .748.703,46","1.577.281,60","9 88.507,04","5.314.492,10","18.819.484,74"
AL,2700706,BATALHA,"2 5.912.060,20","5 .273.943,60","7.852.319,98",-,"1 3.126.263,58","39.038.323,78"
AL,2700805,BELEM,"1 1.540.897,16","2 .348.946,41","5.654.667,95",-,"8 .003.614,36","19.544.511,52"
AL,2700904,BELO MONTE,"1 4.166.314,74","2 .883.303,93","8.888.592,16","1.125.849,63","12.897.745,72","27.064.060,46"
AL,2701001,BOCA DA MATA,"3 3.232.540,28","6 .763.898,43","6.645.184,68","3.024.082,70","16.433.165,81","49.665.706,09"
AL,2701100,BRANQUINHA,"2 2.322.917,40","4 .543.436,78","1 4.295.468,72","2 .133.407,76","20.972.313,26","43.295.230,66"
AL,2701209,CACIMBINHAS,"1 9.467.267,52","3 .962.219,53","5.735.693,48","8 04.250,25","1 0.502.163,26","29.969.430,78"
AL,2701308,CAJUEIRO,"2 9.412.628,18","5 .986.422,58","1 5.949.919,05","2 .016.580,89","23.952.922,52","53.365.550,70"
AL,2701357,CAMPESTRE,"1 1.287.999,16","2 .297.473,47","7.051.210,97","9 75.235,67","1 0.323.920,11","21.611.919,27"
AL,2701407,CAMPO ALEGRE,"7 5.818.211,54","15.431.461,98","45.927.437,99",-,"6 1.358.899,97","137.177.111,51"
AL,2701506,CAMPO GRANDE,"1 3.308.816,56","2 .708.775,27",-,"1 .194.178,99","3 .902.954,26","17.211.770,82"
AL,2701605,CANAPI,"3 8.368.280,61","7 .809.187,95","1 9.407.777,85","3 .328.881,82","30.545.847,62","68.914.128,23"
AL,2701704,CAPELA,"2 4.968.993,31","5 .081.998,95","1 3.518.153,82","2 .081.389,78","20.681.542,55","45.650.535,86"
AL,2701803,CARNEIROS,"1 6.665.555,88","3 .391.980,46","9.909.386,81",-,"1 3.301.367,27","29.966.923,15"
AL,2701902,CHA PRETA,"8 .690.866,77","1.768.872,90","3.489.907,74","7 14.211,41","5.972.992,05","14.663.858,82"
AL,2702009,COITE DO NOIA,"1 6.639.917,29","3 .386.762,17","9.415.983,77",-,"1 2.802.745,94","29.442.663,23"
AL,2702108,COLONIA LEOPOLDINA,"3 0.556.281,11","6 .219.193,00","2 0.037.773,04","2 .595.732,20","28.852.698,24","59.408.979,35"
AL,2702207,COQUEIRO SECO,"7 .304.758,84","1.486.755,04","4 05.200,95","366.395,87","2.258.351,86","9.563.110,70"
AL,2702306,CORURIPE,"8 3.869.172,73","17.070.093,37","39.944.806,04","8 .367.217,27","65.382.116,68","149.251.289,41"
