CODIGO;MUNICIPIO;VA 2024;VA 2023;População;Receita Tributária;Área Cultivada;Área Inundada;Ind. Protegida;Vegetação Nativa;Resíduos Sólidos;Cota Parte Educação;IPM;
150;ADAMANTINA;1.216.515.124;805.245.843;34687;33300892;32756,90;0,0000000;0,000000;0,0000000;0,0015130;0,0007679;0,0588683;
151;ADOLFO;271.762.680;170.956.097;4351;3863913;14617,30;0,0106482;0,000000;0,0000000;0,0000000;0,0001282;0,0209980;
152;AGUAI;1.807.776.588;1.471.439.613;32072;20161060;41205,40;0,0000000;0,000000;0,0000000;0,0014270;0,0008075;0,0837045;
154;AGUAS DA PRATA;274.621.644;197.469.817;7369;6676697;9013,10;0,0000000;0,007334;0,0023692;0,0013000;0,0001677;0,0190735;
153;AGUAS DE LINDOIA;266.432.731;240.779.740;17930;41751063;3234,90;0,0000000;0,000000;0,0000000;0,0013180;0,0004015;0,0210414;
607;AGUAS DE SANTA BARBARA;427.231.715;330.417.734;7177;21786015;29850,80;0,0000000;0,321615;0,0000000;0,0011290;0,0002032;0,0298061;
155;AGUAS DE SAO PEDRO;63.299.467;62.450.182;2780;11725313;29,00;0,0000000;0,000000;0,0000000;0,0012200;0,0000884;0,0077330;
156;AGUDOS;3.666.466.480;3.326.092.948;37680;18968056;80642,50;0,0000000;0,039998;0,0006544;0,0015570;0,0009134;0,1628888;
732;ALAMBARI;129.103.792;143.687.562;6141;3761801;12901,90;0,0000000;0,000000;0,0000000;0,0011380;0,0001508;0,0131491;
157;ALFREDO MARCONDES;149.085.662;141.185.672;4445;4002206;11841,00;0,0000000;0,000000;0,0000000;0,0012960;0,0000357;0,0120285;
158;ALTAIR;355.446.060;349.091.329;3451;3988212;24129,10;0,0000000;0,000000;0,0000000;0,0000000;0,0000800;0,0217388;
159;ALTINOPOLIS;968.967.638;780.771.768;16818;17146171;68918,50;0,0000000;0,000000;0,0000000;0,0012650;0,0004575;0,0550149;
160;ALTO ALEGRE;232.612.480;217.607.144;3841;1938021;28428,60;0,0000000;0,000000;0,0000000;0,0013310;0,0001093;0,0185933;
733;ALUMINIO;2.559.053.075;807.977.976;17301;21291161;1697,60;0,0002294;0,041201;0,0002179;0,0012290;0,0004115;0,0732948;
161;ALVARES FLORENCE;253.826.044;251.431.698;3915;2128980;30647,58;0,0000000;0,000000;0,0000000;0,0012650;0,0000954;0,0198465;
162;ALVARES MACHADO;422.738.470;368.875.270;27255;14945980;30756,92;0,0000000;0,000000;0,0000000;0,0016670;0,0007740;0,0345437;
163;ALVARO DE CARVALHO;45.839.709;37.224.603;4808;729041;11931,10;0,0000000;0,000000;0,0000000;0,0013310;0,0001146;0,0088896;
164;ALVINLANDIA;47.216.287;38.087.988;2885;854325;6022,60;0,0000000;0,095530;0,0000000;0,0013310;0,0000952;0,0085756;
165;AMERICANA;9.940.015.875;10.501.765.542;237240;330672541;2222,50;0,0017105;0,000000;0,0000000;0,0030910;0,0045766;0,4677640;
