IBGE_6,IBGE_7,Município_Join,latitude,longitude
350010,3500105.0,ADAMANTINA,-21.57664045679995,-51.05678056877712
350020,3500204.0,ADOLFO,-21.288722205285314,-49.65329407487982
350030,3500303.0,AGUAÍ,-22.049938973287503,-47.04032731757769
350040,3500402.0,ÁGUAS DA PRATA,-21.913669612735244,-46.691707043623055
350050,3500501.0,ÁGUAS DE LINDÓIA,-22.47474889466562,-46.60369379727587
350055,3500550.0,ÁGUAS DE SANTA BÁRBARA,-22.857893412264886,-49.261087707464334
350060,3500600.0,ÁGUAS DE SÃO PEDRO,-22.59874227648319,-47.87591442307121
350070,3500709.0,AGUDOS,-22.571928008381704,-49.1087231367571
350075,3500758.0,ALAMBARI,-23.54895225701608,-47.86911194551932
350080,3500808.0,ALFREDO MARCONDES,-21.93496842934411,-51.395636176705445
350090,3500907.0,ALTAIR,-20.53336625422861,-49.093863181268155
350100,3501004.0,ALTINÓPOLIS,-21.018060371690908,-47.38615688592323
350110,3501103.0,ALTO ALEGRE,-21.61258817883015,-50.19211288982462
350115,3501152.0,ALUMÍNIO,-23.533031444006863,-47.281221363660144
350120,3501202.0,ÁLVARES FLORENCE,-20.28948209853376,-49.92023074646027
350130,3501301.0,ÁLVARES MACHADO,-22.131322323781475,-51.51474511587436
350140,3501400.0,ÁLVARO DE CARVALHO,-22.086627046985377,-49.73395277911478
350150,3501509.0,ALVINLÂNDIA,-22.45257485570034,-49.75860250429558
350160,3501608.0,AMERICANA,-22.72335232783772,-47.28910643340683
350170,3501707.0,AMÉRICO BRASILIENSE,-21.72219598862144,-48.03218760452506
350180,3501806.0,AMÉRICO DE CAMPOS,-20.28948148516285,-49.76806216341754
350190,3501905.0,AMPARO,-22.699123381820606,-46.79870670073157
350200,3502002.0,ANALÂNDIA,-22.12106139635037,-47.67795295119697
350210,3502101.0,ANDRADINA,-20.835619516576777,-51.32976997754563
350220,3502200.0,ANGATUBA,-23.436867798278328,-48.45929546965908
350230,3502309.0,ANHEMBI,-22.800010509850896,-48.17466074918937
350240,3502408.0,ANHUMAS,-22.36200566862795,-51.42776089803261
350250,3502507.0,APARECIDA,-22.914123014597354,-45.2372088275656
350260,3502606.0,APARECIDA D'OESTE,-20.478863920002354,-50.922072297943295
350270,3502705.0,APIAÍ,-24.421441963482483,-48.81734518202903
350275,3502754.0,ARAÇARIGUAMA,-23.434442629263863,-47.07238040872208
350280,3502804.0,ARAÇATUBA,-21.11375947589673,-50.57455660855611
350290,3502903.0,ARAÇOIABA DA SERRA,-23.543888413040904,-47.651529908693476
350300,3503000.0,ARAMINA,-20.144859353107314,-47.820624051470006
350310,3503109.0,ARANDU,-23.177667086372182,-49.06400383011063
350315,3503158.0,ARAPEÍ,-22.672980583807185,-44.438556095727726
350320,3503208.0,ARARAQUARA,-21.7916445535166,-48.18127581782254
350330,3503307.0,ARARAS,-22.346110281976458,-47.32390937939597
350335,3503356.0,ARCO-ÍRIS,-21.766341041393982,-50.430892285507795
350340,3503406.0,AREALVA,-22.076224961394345,-48.98188112393882
350350,3503505.0,AREIAS,-22.673185558456755,-44.712363467067824
350360,3503604.0,AREIÓPOLIS,-22.631723113303487,-48.65284600386561
350370,3503703.0,ARIRANHA,-21.185651002478927,-48.779203325124165
350380,3503802.0,ARTUR NOGUEIRA,-22.5612480725299,-47.13213593925919
350390,3503901.0,ARUJÁ,-23.385988279846703,-46.31899185189632
350395,3503950.0,ASPÁSIA,-20.18351994534497,-50.728076095861
350400,3504008.0,ASSIS,-22.60174773267543,-50.42071356328535
350410,3504107.0,ATIBAIA,-23.123345124927802,-46.58682603981098
350420,3504206.0,AURIFLAMA,-20.644100083137033,-50.57997711734786
350430,3504305.0,AVAÍ,-22.187181803251857,-49.31623015593768
350440,3504404.0,AVANHANDAVA,-21.460518360888994,-49.9473242890534
350450,3504503.0,AVARÉ,-23.075232128092555,-48.894025965888126
350460,3504602.0,BADY BASSITT,-20.93153587501928,-49.43765125095303
350470,3504701.0,BALBINOS,-21.89236402866932,-49.333055316829366
350480,3504800.0,BÁLSAMO,-20.709566716643998,-49.55193180245614
350490,3504909.0,BANANAL,-22.733810832296637,-44.33445535125917
