IBGE_6,IBGE_7,Município_Join,latitude,longitude,valor_vaar_2025,populacao,iqem_indice,Motivo,recebeu_valor,valor_estimado
352310,3523107.0,ITAQUAQUECETUBA,-23.46148964830576,-46.33393684997863,25288932.58,3692750.0,0.01059,,True,1059000.0
354850,3548500.0,SANTOS,-23.869023749455454,-46.29160073533575,7604232.17,4186080.0,0.0086116,,True,861160.0
352390,3523909.0,ITU,-23.307105570422816,-47.28455201133518,9691798.66,1682400.0,0.0040452,,True,404519.99999999994
350550,3505500.0,BARRETOS,-20.51416363636213,-48.651990691020266,4028217.36,1224850.0,0.0029077,,True,290770.0
350920,3509205.0,CAJAMAR,-23.351473694985238,-46.87200891957303,4631770.55,926890.0,0.0026371,,True,263710.0
351110,3511102.0,CATANDUVA,-21.13375643758814,-48.963683810985856,2941106.84,1157910.0,0.0025948,,True,259480.0
355710,3557105.0,VOTUPORANGA,-20.457797899042667,-49.9891142743525,2579485.8,966340.0,0.0023078,,True,230780.0
353030,3530300.0,MIRASSOL,-20.827596988327496,-49.50424269826822,3039936.11,633370.0,0.0015152,,True,151520.0
351040,3510401.0,CAPIVARI,-22.980708116594627,-47.47803609851957,1801525.15,500680.0,0.0014041,,True,140410.0
350590,3505906.0,BATATAIS,-20.86778234980486,-47.57475199619415,2896334.5,584020.0,0.0013033,,True,130330.00000000001
355370,3553708.0,TAQUARITINGA,-21.42554825186297,-48.53790222770733,2403384.29,522600.0,0.0012954,,True,129540.0
351440,3514403.0,DRACENA,-21.5566602559992,-51.58408995480293,1144584.18,454740.0,0.0010423,,True,104229.99999999999
353130,3531308.0,MONTE ALTO,-21.259308770182017,-48.53301775677264,1222927.28,475740.0,0.0010205,,True,102049.99999999999
351830,3518305.0,GUARAREMA,-23.427575274495783,-46.05856184617405,1187181.49,312360.0,0.000982,,True,98200.0
352410,3524105.0,ITUVERAVA,-20.329489502234654,-47.80959913475954,1183561.78,375710.0,0.0008991,,True,89910.0
350530,3505302.0,BARRA BONITA,-22.47941079538592,-48.54174207424428,1520037.65,343460.0,0.0008504,,True,85040.0
351820,3518206.0,GUARARAPES,-21.28529000647281,-50.69516951255806,911428.13,310430.0,0.0008271,,True,82710.0
350800,3508009.0,BURI,-23.75204230358704,-48.57528930966664,2380800.78,202500.0,0.0006843,,True,68430.0
351030,3510302.0,CAPELA DO ALTO,-23.467436351838533,-47.730999954042,968397.21,228660.0,0.0006645,,True,66450.0
350780,3507803.0,BRODOWSKI,-21.04951895805526,-47.62771644973586,1804354.57,252010.0,0.0006501,,True,65010.0
353740,3537404.0,PEREIRA BARRETO,-20.67774661307015,-51.10647070344915,682614.64,240950.0,0.0006483,,True,64830.0
353920,3539202.0,PIRAPOZINHO,-22.479308416933478,-51.6198936611709,735293.25,253480.0,0.0006154,,True,61540.0
353910,3539103.0,PIRAPORA DO BOM JESUS,-23.37823835203177,-46.98489892631781,2032373.28,183700.0,0.0005588,,True,55880.0
351490,3514908.0,ELIAS FAUSTO,-23.07062788588866,-47.37069508194799,1738090.96,176990.0,0.000515,,True,51500.00000000001
353530,3535309.0,PALMITAL,-22.828761933635324,-50.22085751629902,567251.44,195940.0,0.000513,,True,51300.0
352350,3523503.0,ITATINGA,-23.15362681730537,-48.62939317336495,1322733.13,190700.0,0.0005077,,True,50770.0
351100,3511003.0,CASTILHO,-20.89767944156598,-51.57024047803719,1339547.99,199770.0,0.000504,,True,50400.0
351170,3511706.0,CHARQUEADA,-22.53015160568654,-47.74629791594071,1363393.44,155350.0,0.0004594,,True,45940.0
355510,3555109.0,TUPI PAULISTA,-21.390421214690367,-51.58722662866349,1017260.83,158540.0,0.0004537,,True,45370.0
353700,3537008.0,PEDREGULHO,-20.205558163402674,-47.4390642535346,976962.19,155250.0,0.0004475,,True,44750.0
352042,3520426.0,ILHA COMPRIDA,-24.85893317584064,-47.71517932727811,1385090.19,134190.0,0.0004331,,True,43310.0
355680,3556800.0,VIRADOURO,-20.88432247770932,-48.3098842556075,595519.64,174140.0,0.0003946,,True,39460.0
354425,3544251.0,ROSANA,-22.4891594665676,-52.83697610459327,405242.67,174400.0,0.0003938,,True,39380.0
351480,3514809.0,ELDORADO,-24.49505246506111,-48.2336124051708,899654.99,130690.0,0.0003831,,True,38310.0
353500,3535002.0,PALESTINA,-20.321169764912195,-49.49761721933299,958860.5,114760.0,0.000308,,True,30800.0
353850,3538501.0,PIQUETE,-22.590330147206256,-45.17389869775996,525607.73,124900.0,0.0003014,,True,30140.0
351070,3510708.0,CARDOSO,-20.067187732303893,-49.94750736366719,746901.45,113450.0,0.0002901,,True,29010.0
350630,3506300.0,BERNARDINO DE CAMPOS,-23.0308602926466,-49.49186090638593,613807.21,116070.0,0.0002857,,True,28570.0
351790,3517901.0,GUARACI,-20.3747796450057,-49.00277937485971,466498.2,103500.0,0.000283,,True,28300.0
353282,3532827.0,NOVA CAMPINA,-24.190620755420984,-48.97294835910721,894001.07,84970.0,0.0002792,,True,27920.0
353510,3535101.0,PALMARES PAULISTA,-21.10456849674039,-48.8266556956628,636686.82,96500.0,0.000257,,True,25700.0
353900,3539004.0,PIRANGI,-21.09389716600705,-48.66934216035779,277813.42,108850.0,0.0002539,,True,25390.0
354490,3544905.0,SALES OLIVEIRA,-20.831443319159103,-47.85459341955018,306065.63,114110.0,0.0002491,,True,24910.0
353480,3534807.0,OURO VERDE,-21.510393387605586,-51.7379299717372,376014.54,77790.0,0.0002478,,True,24780.0
